Estados,inicio,varinicio,varfim,escreva,leia,se,entao,fimse,faca-ate,fimfaca,fim,inteiro,literal,real,num,ID,Comentário,EOF,opr,rcb,opm,ab_p,fc_p,pt_v,vir,$
0,S2,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,ACC
2,,S4,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,S17,S16,S21,,,S20,,S15,,,,S18,,,,,,,,,,,
4,,,S67,,,,,,,,,,,,,S6,,,,,,,,,,
5,,,,R3,R3,R3,,,R3,,R3,,,,,R3,,,,,,,,,,
6,,,,,,,,,,,,R8,R8,R8,,,,,,,,,,,S8,
7,,,S67,,,,,,,,,,,,,S6,,,,,,,,,,
8,,,,,,,,,,,,,,,,S6,,,,,,,,,,
9,,,,,,,,,,,,R7,R7,R7,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,,R10
11,,,,S17,S16,S21,,,S20,,S15,,,,,S18,,,,,,,,,,
12,,,,S17,S16,S21,,,S20,,S15,,,,,S18,,,,,,,,,,
13,,,,S17,S16,S21,,,S20,,S15,,,,,S18,,,,,,,,,,
14,,,,S17,S16,S21,,,S20,,S15,,,,,S18,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,,,,R38
16,,,,,,,,,,,,,,,,S23,,,,,,,,,,
17,,,,,,,,,,,,,S62,,S63,S64,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,S25,,,,,,
19,,,,S17,S16,21,,S37,,,,,,,,S18,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,,S41,,,,
21,,,,,,,,,,,,,,,,,,,,,,S55,,,,
22,,,,,,,,,,,,,,,,,,,,,,,,,,R12
23,,,,,,,,,,,,,,,,,,,,,,,,S24,,
24,,,,R13,R13,R13,,R13,R13,R13,R13,,,,,R13,,,,,,,,,,
25,,,,,,S31,,,,,,,,,S32,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,,,,,,S27,,
27,,,,R19,R19,R19,,R19,R19,R19,R19,,,,,R19,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,,S29,,,R21,,
29,,,,,,,,,,,,,,,S32,S31,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,,,,,,R20,,
31,,,,,,,,,,,,,,,,,,,R22,,R22,,R22,R22,,
32,,,,,,,,,,,,,,,,,,,R23,,R23,,E23,R23,,
33,,,,R25,R25,R25,,R25,R25,R25,R25,,,,,R25,,,,,,,,,,
34,,,,S17,S16,S21,,S37,,,,,,,,S18,,,,,,,,,,
35,,,,S17,S16,R21,,S37,,,,,,,,S18,,,,,,,,,,
36,,,,S17,S16,R21,,S37,,,,,,,,S18,,,,,,,,,,
37,,,,R31,R31,R31,,R31,R31,R31,R31,,,,,R31,,,,,,,,,,
38,,,,R28,R28,R28,,R28,R28,R28,R28,,,,,R28,,,,,,,,,,
39,,,,R29,R29,R29,,R29,R29,R29,R29,,,,,R29,,,,,,,,,,
40,,,,R30,R30,R30,,R30,R30,R30,R30,,,,,R30,,,,,,,,,,
41,,,,,,,,,,,,,,,S32,S31,,,,,,,,,,
42,,,,,,,,,,,,,,,,,,,,,,,S44,,,
43,,,,,,,,,,,,,,,,,,,S45,,,,,,,
44,,,,S17,S16,S21,,,,S51,,,,,,S18,,,,,,,,,,
45,,,,,,,,,,,,,,,S32,S31,,,,,,,,,,
46,,,,,,,,,,,,,,,,,,,,,,,R27,,,
47,,,,R33,R33,R33,,,R33,,R33,,,,,R33,,,,,,,,,,
48,,,,S17,S16,S21,,,,S51,,,,,,S18,,,,,,,,,,
49,,,,S17,S16,S21,,,,S51,,,,,,S18,,,,,,,,,,
50,,,,S17,S16,S21,,,,S51,,,,,,S18,,,,,,,,,,
51,,,,R37,R37,R37,,,R37,,R37,,,,,R37,,,,,,,,,,
52,,,,R34,R34,R34,,,R34,,R34,,,,,R34,,,,,,,,,,
53,,,,R35,R35,R35,,,R35,,R35,,,,,R35,,,,,,,,,,
54,,,,R36,R36,R36,,,R36,,R36,,,,,R36,,,,,,,,,,
55,,,,,,,,,,,,,,,S32,S31,,,,,,,,,,
56,,,,,,,,,,,,,,,,,,,,,,,S57,,,
57,,,,,,,S58,,,,,,,,,,,,,,,,,,,
58,,,,R26,R26,R26,,R26,,,,,,,,R26,,,,,,,,,,
59,,,,,,,,,,,,,,,,,,,,,,,,,,R32
60,,,,,,,,,,,,,,,,,,,,,,,,,,R18
61,,,,,,,,,,,,,,,,,,,,,,,,,,R24
62,,,,,,,,,,,,,,,,,,,,,,,,R15,,
63,,,,,,,,,,,,,,,,,,,,,,,,R16,,
64,,,,,,,,,,,,,,,,,,,,,,,,R17,,
65,,,,,,,,,,,,,,,,,,,,,,,,S66,,
66,,,,R14,R14,R14,,R14,R14,R14,R14,,,,,R14,,,,,,,,,,
67,,,,,,,,,,,,,,,,,,,,,,,,S68,,
68,,,,,,,,,,,,,,,,,,,,,,,,,,R5
69,,,,,,,,,,,,S71,S73,S72,,,,,,,,,,,,
70,,,,,,,,,,,,,,,,,,,,,,,,S75,,
71,,,,,,,,,,,,,,,,,,,,,,,,R9,,
72,,,,,,,,,,,,,,,,,,,,,,,,R10,,
73,,,,,,,,,,,,,,,,,,,,,,,,R11,,
74,,,,,,,,,,,,,,,,,,,,,,,,,,R4
75,,,R6,,,,,,,,,,,,,R6,,,,,,,,,,
